"","TF","target","importance"
"461","SREBF1","ATP6V0B",9.44438847475165
"462","KLF2","CAPZB",9.43442296244754
"463","SIN3A","PPP1R12B",9.43174313868073
"464","CBFB","COTL1",9.42478865603365
"465","NR2C2","VAV3",9.41766959527951
"466","JUND","RPL6",9.39340359939621
"467","JUND","BTF3",9.39186827555829
"468","PRDM1","ZFP36L2",9.37190377629258
"469","HMGB1","EMB",9.34924339743675
"470","JUND","RPS24",9.32146321197282
"471","ZNF90","RPS21",9.3195012888999
"472","FOSL2","PFKFB3",9.29475162315653
"473","KLF2","FTH1",9.28820983699644
"474","ZNF331","JUNB",9.27103405960965
"475","JUN","PPP1R15A",9.26298665667327
"476","EGR1","IER2",9.21712992551958
"477","ARID3A","SMCHD1",9.20089693482555
"478","XBP1","UBC",9.1626990494352
"479","FOSB","NFKBIA",9.1565747087058
"480","JUND","RGCC",9.13055747357761
"481","ETS1","LTB",9.12643330547484
"482","KLF6","JUN",9.108259728793
"483","JUN","RPL38",9.09774930238097
"484","STAT1","HSPA8",9.08001756636334
"485","ETS1","H3F3B",9.06222613331645
"486","HOXB2","TIGIT",9.06024139536601
"487","JUND","TRBC2",9.04269991207598
"488","JUND","IER2",9.03059112490211
"489","KLF2","UCP2",9.02980493720426
"490","RUNX1","SAMHD1",9.02403150749636
"491","KLF2","GZMA",9.01943302709835
"492","JUNB","BTG1",9.01569421013027
"493","CREM","FTH1",9.0141723137306
"494","JUND","CCL4",9.01035961139709
"495","JUN","TNFAIP3",8.99862742394959
"496","ETS1","CCNI",8.99458933364912
"497","FOXP3","RPS26",8.96973172095838
"498","JUN","CCL4",8.92082134489555
"499","JUNB","RPS19",8.91803088780956
"500","JUND","RPL18A",8.89537903870627
"501","JUN","HSPA6",8.88750053543437
"502","ZNF90","TOMM7",8.87168575214687
"503","ERF","CASP2",8.86086419230927
"504","KLF2","ZFP36L2",8.85912966460841
"505","KLF2","YBX1",8.84385325261757
"506","JUNB","TXNIP",8.83968980229622
"507","CEBPD","KLRB1",8.81417727151955
"508","MAF","KLRD1",8.79743599316648
"509","FOSB","ARHGDIB",8.79609688221977
"510","FOSB","RPL15",8.78580940694132
"511","ZNF90","RPL6",8.77073759267651
"512","EOMES","HLA.B",8.75315098024969
"513","KLF6","DDX5",8.75219227764735
"514","DNMT1","PHTF1",8.74786375041042
"515","ETS1","EEF1D",8.7377892003727
"516","JUNB","RAC2",8.73373880101139
"517","JUNB","EIF4A2",8.73277723145136
"518","JUN","RPL37",8.72872513350242
"519","ETS1","CALM1",8.72721837155214
"520","RFX5","FXYD1",8.69117248181981
"521","ZNF121","RPS27",8.68454284775449
"522","BATF","PFKFB3",8.68361960460154
"523","FOXP3","IKZF2",8.66780557511739
"524","REL","RPS26",8.66052607908958
"525","JUN","RPL8",8.61825745942864
"526","JUND","RHOA",8.61035334953233
"527","JUNB","DDX5",8.60804424014469
"528","ETS1","MT.CO2",8.60721665178455
"529","KLF2","MT.CO2",8.60492845456018
"530","KLF2","RHOA",8.59666433669154
"531","JUND","KLF2",8.59341580876504
"532","FOXP3","RPS14",8.58573200305444
"533","RUNX3","ADGRE5",8.58359201826845
"534","RORC","KLRB1",8.57215945731018
"535","KLF2","EEF1D",8.55282562653462
"536","MAF","RPS14",8.53990416224732
"537","KLF2","ITK",8.50522415777819
"538","KLF6","FOSB",8.50206427042171
"539","JUNB","FTH1",8.49341684287892
"540","ZNF90","RPL41",8.49045676770018
"541","KLF6","TNFAIP3",8.48765034450309
"542","JUN","RPL10",8.4784435490072
"543","MAFK","EXOC3",8.45999116781307
"544","CNOT4","RP11.108M9.4",8.4556086098981
"545","JUNB","RPL18",8.45432812749519
"546","ZNF48","CTSA",8.42924631410706
"547","JUNB","PTMA",8.42149183691723
"548","EZH2","MALAT1",8.4212977827006
"549","KLF2","NFKB1",8.39916776172025
"550","ETS1","RPS24",8.39553218551306
"551","JUN","SLC2A3",8.39307528140077
"552","JUND","LCP1",8.3743295968197
"553","ETS1","CLIC1",8.36858811532358
"554","STAT1","LTB",8.36429077139204
"555","JUND","RGS1",8.361322085071
"556","ETS1","UCP2",8.36118672240554
"557","JUND","UBA52",8.3560372600373
"558","KLF2","NEAT1",8.34980118196299
"559","KLF2","SORL1",8.34685669567521
"560","KLF6","CD48",8.33801511237246
"561","STAT1","HSP90AA1",8.33259149702779
"562","MAF","RGS1",8.31575988206342
"563","REL","TNFAIP3",8.29550676214387
"564","FOXK2","TMBIM4",8.29547904491981
"565","ZEB1","PCNX2",8.28396832688704
"566","ZNF90","RPL29",8.28004657482632
"567","PRDM1","TSC22D3",8.27014358926282
"568","NPDC1","BIRC3",8.26476181413488
"569","KLF6","GAPDH",8.26463983306888
"570","JUND","ACTG1",8.2622691581882
"571","ELK3","KLRD1",8.26192692323422
"572","RUNX3","ZFP36",8.25786335775457
"573","ZNF90","RPS6",8.25217343099498
"574","ETS1","MT2A",8.23576036555053
"575","ETS1","EIF3L",8.23091673716283
"576","ETS1","VIM",8.22413857610707
"577","ZNF90","RPL24",8.21512546421395
"578","FOSB","MIR24.2",8.20294081828945
"579","JUND","HLA.A",8.19393702126362
"580","NR2C2","COPB1",8.19361049166753
"581","FOSB","ZFP36",8.18242450765379
"582","PRDM1","TNFAIP3",8.17563568670621
"583","ATF3","JUN",8.16885301263572
"584","FOS","CD8A",8.15886110954485
"585","JUND","RPS26",8.14014406870726
"586","MAF","HSPA8",8.12790069458715
"587","EOMES","RPL37",8.11897365637565
"588","ZNF90","RPL32",8.11059986618389
"589","STAT1","PTMA",8.09634302401301
